x, y, z, nodeNo
   25.000,     0.000,     0.000,        1
   25.000,    25.000,     0.000,        2
    0.000,    25.000,     0.000,        3
    0.000,     0.000,     0.000,        4
   25.000,    50.000,     0.000,        5
   50.000,    25.000,     0.000,        6
   50.000,    50.000,     0.000,        7
    0.000,    50.000,     0.000,        8
   50.000,     0.000,     0.000,        9
   25.000,     1.000,     0.000,       10
   25.000,     2.000,     0.000,       11
   25.000,     3.000,     0.000,       12
   25.000,     4.000,     0.000,       13
   25.000,     5.000,     0.000,       14
   25.000,     6.000,     0.000,       15
   25.000,     7.000,     0.000,       16
   25.000,     8.000,     0.000,       17
   25.000,     9.000,     0.000,       18
   25.000,    10.000,     0.000,       19
   25.000,    11.000,     0.000,       20
   25.000,    12.000,     0.000,       21
   25.000,    13.000,     0.000,       22
   25.000,    14.000,     0.000,       23
   25.000,    15.000,     0.000,       24
   25.000,    16.000,     0.000,       25
   25.000,    17.000,     0.000,       26
   25.000,    18.000,     0.000,       27
   25.000,    19.000,     0.000,       28
   25.000,    20.000,     0.000,       29
   25.000,    21.000,     0.000,       30
   25.000,    22.000,     0.000,       31
   25.000,    23.000,     0.000,       32
   25.000,    24.000,     0.000,       33
   24.000,    25.000,     0.000,       34
   23.000,    25.000,     0.000,       35
   22.000,    25.000,     0.000,       36
   21.000,    25.000,     0.000,       37
   20.000,    25.000,     0.000,       38
   19.000,    25.000,     0.000,       39
   18.000,    25.000,     0.000,       40
   17.000,    25.000,     0.000,       41
   16.000,    25.000,     0.000,       42
   15.000,    25.000,     0.000,       43
   14.000,    25.000,     0.000,       44
   13.000,    25.000,     0.000,       45
   12.000,    25.000,     0.000,       46
   11.000,    25.000,     0.000,       47
   10.000,    25.000,     0.000,       48
    9.000,    25.000,     0.000,       49
    8.000,    25.000,     0.000,       50
    7.000,    25.000,     0.000,       51
    6.000,    25.000,     0.000,       52
    5.000,    25.000,     0.000,       53
    4.000,    25.000,     0.000,       54
    3.000,    25.000,     0.000,       55
    2.000,    25.000,     0.000,       56
    1.000,    25.000,     0.000,       57
    0.000,    24.000,     0.000,       58
    0.000,    23.000,     0.000,       59
    0.000,    22.000,     0.000,       60
    0.000,    21.000,     0.000,       61
    0.000,    20.000,     0.000,       62
    0.000,    19.000,     0.000,       63
    0.000,    18.000,     0.000,       64
    0.000,    17.000,     0.000,       65
    0.000,    16.000,     0.000,       66
    0.000,    15.000,     0.000,       67
    0.000,    14.000,     0.000,       68
    0.000,    13.000,     0.000,       69
    0.000,    12.000,     0.000,       70
    0.000,    11.000,     0.000,       71
    0.000,    10.000,     0.000,       72
    0.000,     9.000,     0.000,       73
    0.000,     8.000,     0.000,       74
    0.000,     7.000,     0.000,       75
    0.000,     6.000,     0.000,       76
    0.000,     5.000,     0.000,       77
    0.000,     4.000,     0.000,       78
    0.000,     3.000,     0.000,       79
    0.000,     2.000,     0.000,       80
    0.000,     1.000,     0.000,       81
    1.000,     0.000,     0.000,       82
    2.000,     0.000,     0.000,       83
    3.000,     0.000,     0.000,       84
    4.000,     0.000,     0.000,       85
    5.000,     0.000,     0.000,       86
    6.000,     0.000,     0.000,       87
    7.000,     0.000,     0.000,       88
    8.000,     0.000,     0.000,       89
    9.000,     0.000,     0.000,       90
   10.000,     0.000,     0.000,       91
   11.000,     0.000,     0.000,       92
   12.000,     0.000,     0.000,       93
   13.000,     0.000,     0.000,       94
   14.000,     0.000,     0.000,       95
   15.000,     0.000,     0.000,       96
   16.000,     0.000,     0.000,       97
   17.000,     0.000,     0.000,       98
   18.000,     0.000,     0.000,       99
   19.000,     0.000,     0.000,      100
   20.000,     0.000,     0.000,      101
   21.000,     0.000,     0.000,      102
   22.000,     0.000,     0.000,      103
   23.000,     0.000,     0.000,      104
   24.000,     0.000,     0.000,      105
   25.000,    49.000,     0.000,      106
   25.000,    48.000,     0.000,      107
   25.000,    47.000,     0.000,      108
   25.000,    46.000,     0.000,      109
   25.000,    45.000,     0.000,      110
   25.000,    44.000,     0.000,      111
   25.000,    43.000,     0.000,      112
   25.000,    42.000,     0.000,      113
   25.000,    41.000,     0.000,      114
   25.000,    40.000,     0.000,      115
   25.000,    39.000,     0.000,      116
   25.000,    38.000,     0.000,      117
   25.000,    37.000,     0.000,      118
   25.000,    36.000,     0.000,      119
   25.000,    35.000,     0.000,      120
   25.000,    34.000,     0.000,      121
   25.000,    33.000,     0.000,      122
   25.000,    32.000,     0.000,      123
   25.000,    31.000,     0.000,      124
   25.000,    30.000,     0.000,      125
   25.000,    29.000,     0.000,      126
   25.000,    28.000,     0.000,      127
   25.000,    27.000,     0.000,      128
   25.000,    26.000,     0.000,      129
   26.000,    25.000,     0.000,      130
   27.000,    25.000,     0.000,      131
   28.000,    25.000,     0.000,      132
   29.000,    25.000,     0.000,      133
   30.000,    25.000,     0.000,      134
   31.000,    25.000,     0.000,      135
   32.000,    25.000,     0.000,      136
   33.000,    25.000,     0.000,      137
   34.000,    25.000,     0.000,      138
   35.000,    25.000,     0.000,      139
   36.000,    25.000,     0.000,      140
   37.000,    25.000,     0.000,      141
   38.000,    25.000,     0.000,      142
   39.000,    25.000,     0.000,      143
   40.000,    25.000,     0.000,      144
   41.000,    25.000,     0.000,      145
   42.000,    25.000,     0.000,      146
   43.000,    25.000,     0.000,      147
   44.000,    25.000,     0.000,      148
   45.000,    25.000,     0.000,      149
   46.000,    25.000,     0.000,      150
   47.000,    25.000,     0.000,      151
   48.000,    25.000,     0.000,      152
   49.000,    25.000,     0.000,      153
   50.000,    26.000,     0.000,      154
   50.000,    27.000,     0.000,      155
   50.000,    28.000,     0.000,      156
