x, y, z, porePressure
   24.887,     0.113,     0.000,    825397.31
   24.887,     0.500,     0.000,    821597.94
   24.887,     0.887,     0.000,    817798.56
   24.500,     0.113,     0.000,    825397.31
   24.500,     0.500,     0.000,    821597.94
   24.500,     0.887,     0.000,    817798.56
   24.113,     0.113,     0.000,    825397.31
   24.113,     0.500,     0.000,    821597.94
   24.113,     0.887,     0.000,    817798.56
   24.887,     1.113,     0.000,    815587.31
   24.887,     1.500,     0.000,    811787.94
   24.887,     1.887,     0.000,    807988.56
   24.500,     1.113,     0.000,    815587.31
   24.500,     1.500,     0.000,    811787.94
   24.500,     1.887,     0.000,    807988.56
   24.113,     1.113,     0.000,    815587.31
   24.113,     1.500,     0.000,    811787.94
   24.113,     1.887,     0.000,    807988.56
   24.887,     2.113,     0.000,    805777.31
   24.887,     2.500,     0.000,    801977.94
   24.887,     2.887,     0.000,    798178.56
   24.500,     2.113,     0.000,    805777.31
   24.500,     2.500,     0.000,    801977.94
   24.500,     2.887,     0.000,    798178.56
   24.113,     2.113,     0.000,    805777.31
   24.113,     2.500,     0.000,    801977.94
   24.113,     2.887,     0.000,    798178.56
   24.887,     3.113,     0.000,    795967.31
   24.887,     3.500,     0.000,    792167.94
   24.887,     3.887,     0.000,    788368.56
   24.500,     3.113,     0.000,    795967.31
   24.500,     3.500,     0.000,    792167.94
   24.500,     3.887,     0.000,    788368.56
   24.113,     3.113,     0.000,    795967.31
   24.113,     3.500,     0.000,    792167.94
   24.113,     3.887,     0.000,    788368.56
   24.887,     4.113,     0.000,    786157.31
   24.887,     4.500,     0.000,    782357.94
   24.887,     4.887,     0.000,    778558.56
   24.500,     4.113,     0.000,    786157.31
   24.500,     4.500,     0.000,    782357.94
   24.500,     4.887,     0.000,    778558.56
   24.113,     4.113,     0.000,    786157.31
   24.113,     4.500,     0.000,    782357.94
   24.113,     4.887,     0.000,    778558.56
   24.887,     5.113,     0.000,    776347.31
   24.887,     5.500,     0.000,    772547.94
   24.887,     5.887,     0.000,    768748.56
   24.500,     5.113,     0.000,    776347.31
   24.500,     5.500,     0.000,    772547.94
   24.500,     5.887,     0.000,    768748.56
   24.113,     5.113,     0.000,    776347.31
   24.113,     5.500,     0.000,    772547.94
   24.113,     5.887,     0.000,    768748.56
   24.887,     6.113,     0.000,    766537.31
   24.887,     6.500,     0.000,    762737.94
   24.887,     6.887,     0.000,    758938.56
   24.500,     6.113,     0.000,    766537.31
   24.500,     6.500,     0.000,    762737.94
