x, y, z, porePressure
   24.887,     0.113,     0.000,    489394.41
   24.887,     0.500,     0.000,    485595.06
   24.887,     0.887,     0.000,    481795.69
   24.500,     0.113,     0.000,    489394.41
   24.500,     0.500,     0.000,    485595.06
   24.500,     0.887,     0.000,    481795.69
   24.113,     0.113,     0.000,    489394.41
   24.113,     0.500,     0.000,    485595.06
   24.113,     0.887,     0.000,    481795.69
   24.887,     1.113,     0.000,    479584.50
   24.887,     1.500,     0.000,    475785.16
   24.887,     1.887,     0.000,    471985.81
   24.500,     1.113,     0.000,    479584.50
   24.500,     1.500,     0.000,    475785.16
   24.500,     1.887,     0.000,    471985.81
   24.113,     1.113,     0.000,    479584.50
   24.113,     1.500,     0.000,    475785.16
   24.113,     1.887,     0.000,    471985.81
   24.887,     2.113,     0.000,    469774.62
   24.887,     2.500,     0.000,    465975.25
   24.887,     2.887,     0.000,    462175.88
   24.500,     2.113,     0.000,    469774.62
   24.500,     2.500,     0.000,    465975.25
   24.500,     2.887,     0.000,    462175.88
   24.113,     2.113,     0.000,    469774.62
   24.113,     2.500,     0.000,    465975.25
   24.113,     2.887,     0.000,    462175.88
   24.887,     3.113,     0.000,    459964.69
   24.887,     3.500,     0.000,    456165.31
   24.887,     3.887,     0.000,    452365.97
   24.500,     3.113,     0.000,    459964.69
   24.500,     3.500,     0.000,    456165.31
   24.500,     3.887,     0.000,    452365.97
   24.113,     3.113,     0.000,    459964.69
   24.113,     3.500,     0.000,    456165.31
   24.113,     3.887,     0.000,    452365.97
   24.887,     4.113,     0.000,    450154.78
   24.887,     4.500,     0.000,    446355.38
   24.887,     4.887,     0.000,    442556.00
   24.500,     4.113,     0.000,    450154.78
   24.500,     4.500,     0.000,    446355.38
   24.500,     4.887,     0.000,    442556.00
   24.113,     4.113,     0.000,    450154.78
   24.113,     4.500,     0.000,    446355.38
   24.113,     4.887,     0.000,    442556.00
   24.887,     5.113,     0.000,    440344.81
   24.887,     5.500,     0.000,    436545.44
   24.887,     5.887,     0.000,    432746.06
   24.500,     5.113,     0.000,    440344.81
   24.500,     5.500,     0.000,    436545.44
   24.500,     5.887,     0.000,    432746.06
   24.113,     5.113,     0.000,    440344.81
   24.113,     5.500,     0.000,    436545.44
   24.113,     5.887,     0.000,    432746.06
   24.887,     6.113,     0.000,    430534.84
   24.887,     6.500,     0.000,    426735.47
   24.887,     6.887,     0.000,    422936.06
   24.500,     6.113,     0.000,    430534.84
   24.500,     6.500,     0.000,    426735.47
   24.500,     6.887,     0.000,    422936.06
   24.113,     6.113,     0.000,    430534.84
   24.113,     6.500,     0.000,    426735.47
   24.113,     6.887,     0.000,    422936.06
   24.887,     7.113,     0.000,    420724.88
   24.887,     7.500,     0.000,    416925.47
   24.887,     7.887,     0.000,    413126.09
   24.500,     7.113,     0.000,    420724.88
   24.500,     7.500,     0.000,    416925.47
   24.500,     7.887,     0.000,    413126.09
   24.113,     7.113,     0.000,    420724.88
   24.113,     7.500,     0.000,    416925.47
   24.113,     7.887,     0.000,    413126.09
   24.887,     8.113,     0.000,    410914.88
   24.887,     8.500,     0.000,    407115.50
   24.887,     8.887,     0.000,    403316.09
   24.500,     8.113,     0.000,    410914.88
   24.500,     8.500,     0.000,    407115.50
   24.500,     8.887,     0.000,    403316.09
   24.113,     8.113,     0.000,    410914.88
   24.113,     8.500,     0.000,    407115.50
   24.113,     8.887,     0.000,    403316.09
