x, y, z, voidRatio
   24.887,     0.113,     0.000, 0.2774691
   24.887,     0.500,     0.000, 0.2799827
   24.887,     0.887,     0.000, 0.2825063
   24.500,     0.113,     0.000, 0.2774691
   24.500,     0.500,     0.000, 0.2799827
   24.500,     0.887,     0.000, 0.2825063
   24.113,     0.113,     0.000, 0.2774691
   24.113,     0.500,     0.000, 0.2799827
   24.113,     0.887,     0.000, 0.2825063
   24.887,     1.113,     0.000, 0.2837975
   24.887,     1.500,     0.000, 0.2857079
   24.887,     1.887,     0.000, 0.2876240
   24.500,     1.113,     0.000, 0.2837975
   24.500,     1.500,     0.000, 0.2857079
   24.500,     1.887,     0.000, 0.2876240
   24.113,     1.113,     0.000, 0.2837975
   24.113,     1.500,     0.000, 0.2857079
   24.113,     1.887,     0.000, 0.2876240
   24.887,     2.113,     0.000, 0.2885937
   24.887,     2.500,     0.000, 0.2900081
   24.887,     2.887,     0.000, 0.2914256
   24.500,     2.113,     0.000, 0.2885937
   24.500,     2.500,     0.000, 0.2900081
   24.500,     2.887,     0.000, 0.2914256
   24.113,     2.113,     0.000, 0.2885937
   24.113,     2.500,     0.000, 0.2900081
   24.113,     2.887,     0.000, 0.2914256
   24.887,     3.113,     0.000, 0.2921353
   24.887,     3.500,     0.000, 0.2931559
   24.887,     3.887,     0.000, 0.2941782
   24.500,     3.113,     0.000, 0.2921353
   24.500,     3.500,     0.000, 0.2931559
   24.500,     3.887,     0.000, 0.2941782
   24.113,     3.113,     0.000, 0.2921353
   24.113,     3.500,     0.000, 0.2931559
   24.113,     3.887,     0.000, 0.2941782
   24.887,     4.113,     0.000, 0.2946849
   24.887,     4.500,     0.000, 0.2954034
   24.887,     4.887,     0.000, 0.2961226
   24.500,     4.113,     0.000, 0.2946849
   24.500,     4.500,     0.000, 0.2954034
   24.500,     4.887,     0.000, 0.2961226
   24.113,     4.113,     0.000, 0.2946849
   24.113,     4.500,     0.000, 0.2954034
   24.113,     4.887,     0.000, 0.2961226
   24.887,     5.113,     0.000, 0.2964758
   24.887,     5.500,     0.000, 0.2969698
   24.887,     5.887,     0.000, 0.2974642
   24.500,     5.113,     0.000, 0.2964758
   24.500,     5.500,     0.000, 0.2969698
   24.500,     5.887,     0.000, 0.2974642
   24.113,     5.113,     0.000, 0.2964758
   24.113,     5.500,     0.000, 0.2969698
   24.113,     5.887,     0.000, 0.2974642
   24.887,     6.113,     0.000, 0.2977047
   24.887,     6.500,     0.000, 0.2980368
   24.887,     6.887,     0.000, 0.2983691
   24.500,     6.113,     0.000, 0.2977047
   24.500,     6.500,     0.000, 0.2980368
   24.500,     6.887,     0.000, 0.2983691
   24.113,     6.113,     0.000, 0.2977047
   24.113,     6.500,     0.000, 0.2980368
   24.113,     6.887,     0.000, 0.2983691
   24.887,     7.113,     0.000, 0.2985295
   24.887,     7.500,     0.000, 0.2987482
   24.887,     7.887,     0.000, 0.2989669
   24.500,     7.113,     0.000, 0.2985295
   24.500,     7.500,     0.000, 0.2987482
   24.500,     7.887,     0.000, 0.2989669
   24.113,     7.113,     0.000, 0.2985295
   24.113,     7.500,     0.000, 0.2987482
   24.113,     7.887,     0.000, 0.2989669
   24.887,     8.113,     0.000, 0.2990716
   24.887,     8.500,     0.000, 0.2992128
   24.887,     8.887,     0.000, 0.2993539
   24.500,     8.113,     0.000, 0.2990716
   24.500,     8.500,     0.000, 0.2992128
   24.500,     8.887,     0.000, 0.2993539
   24.113,     8.113,     0.000, 0.2990716
   24.113,     8.500,     0.000, 0.2992128
   24.113,     8.887,     0.000, 0.2993539
   24.887,     9.113,     0.000, 0.2994210
   24.887,     9.500,     0.000, 0.2995105
   24.887,     9.887,     0.000, 0.2996000
   24.500,     9.113,     0.000, 0.2994210
   24.500,     9.500,     0.000, 0.2995105
   24.500,     9.887,     0.000, 0.2996000
   24.113,     9.113,     0.000, 0.2994210
   24.113,     9.500,     0.000, 0.2995105
   24.113,     9.887,     0.000, 0.2996000
   24.887,    10.113,     0.000, 0.2996422
   24.887,    10.500,     0.000, 0.2996980
   24.887,    10.887,     0.000, 0.2997537
   24.500,    10.113,     0.000, 0.2996422
   24.500,    10.500,     0.000, 0.2996980
   24.500,    10.887,     0.000, 0.2997537
   24.113,    10.113,     0.000, 0.2996422
   24.113,    10.500,     0.000, 0.2996980
   24.113,    10.887,     0.000, 0.2997537
   24.887,    11.113,     0.000, 0.2997799
   24.887,    11.500,     0.000, 0.2998141
   24.887,    11.887,     0.000, 0.2998483
   24.500,    11.113,     0.000, 0.2997799
   24.500,    11.500,     0.000, 0.2998141
   24.500,    11.887,     0.000, 0.2998483
   24.113,    11.113,     0.000, 0.2997799
   24.113,    11.500,     0.000, 0.2998141
   24.113,    11.887,     0.000, 0.2998483
   24.887,    12.113,     0.000, 0.2998643
   24.887,    12.500,     0.000, 0.2998849
   24.887,    12.887,     0.000, 0.2999057
   24.500,    12.113,     0.000, 0.2998643
   24.500,    12.500,     0.000, 0.2998849
   24.500,    12.887,     0.000, 0.2999057
   24.113,    12.113,     0.000, 0.2998643
   24.113,    12.500,     0.000, 0.2998849
   24.113,    12.887,     0.000, 0.2999057
   24.887,    13.113,     0.000, 0.2999153
   24.887,    13.500,     0.000, 0.2999277
   24.887,    13.887,     0.000, 0.2999400
   24.500,    13.113,     0.000, 0.2999153
   24.500,    13.500,     0.000, 0.2999277
   24.500,    13.887,     0.000, 0.2999400
   24.113,    13.113,     0.000, 0.2999153
   24.113,    13.500,     0.000, 0.2999277
   24.113,    13.887,     0.000, 0.2999400
   24.887,    14.113,     0.000, 0.2999457
   24.887,    14.500,     0.000, 0.2999531
   24.887,    14.887,     0.000, 0.2999604
   24.500,    14.113,     0.000, 0.2999457
   24.500,    14.500,     0.000, 0.2999531
   24.500,    14.887,     0.000, 0.2999604
   24.113,    14.113,     0.000, 0.2999457
   24.113,    14.500,     0.000, 0.2999531
   24.113,    14.887,     0.000, 0.2999604
   24.887,    15.113,     0.000, 0.2999638
   24.887,    15.500,     0.000, 0.2999681
   24.887,    15.887,     0.000, 0.2999724
   24.500,    15.113,     0.000, 0.2999638
   24.500,    15.500,     0.000, 0.2999681
   24.500,    15.887,     0.000, 0.2999724
   24.113,    15.113,     0.000, 0.2999638
   24.113,    15.500,     0.000, 0.2999681
   24.113,    15.887,     0.000, 0.2999724
   24.887,    16.113,     0.000, 0.2999744
   24.887,    16.500,     0.000, 0.2999769
